year,tempav
1961,7.09
1962,4.998
1963,5.262
1964,6.246
1965,5.249
1966,5.211
1967,6.548
1968,6.014
1969,5.524
1970,4.853
1971,6.619
1972,6.743
1973,6.706
1974,7.021
1975,7.819
1976,5.71
1977,5.955
1978,5.628
1979,5.288
1980,5.352
1981,5.64
1982,6.795
1983,7.156
1984,6.805
1985,4.43
1986,5.85
1987,4.718
1988,6.522
1989,8.147
1990,8.283
1991,7.135
1992,7.598
1993,6.38
1994,6.804
1995,6.442
1996,5.284
1997,6.927
1998,6.163
1999,7.235
2000,7.872
2001,6.553
2002,7.269
2003,6.704
2004,6.626
2005,7.029
2006,7.557
2007,7.518
2008,7.675
2009,6.67
2010,4.83
2011,7.758
2012,6.477
2013,6.819
2014,8.176
2015,7.879
2016,7.512
2017,7.473
2018,8.047
2019,7.993
2020,8.938
2021,7.245
2022,8.093
2023,7.507
2024,8.068
